SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
OBEROIRLTY,579.55,543,550.75,572.5333333,594.3166667,557.7666667,535.9833333,521.2166667,-1.257993187,SELL,657378,365116973.6,551.75,556.7666667
JSLHISAR,191.2,183,185.85,190.3666667,194.8833333,186.6833333,182.1666667,178.4833333,-0.446388715,SKIP,652773,122318552.5,186.85,185.6833333
MUTHOOTFIN,448,434,443.45,449.6333333,455.8166667,441.8166667,435.6333333,427.8166667,0.369685767,SKIP,649034,287030009.6,444.45,440.8166667
ARVIND,420.95,414.4,417.7,420.9666667,424.2333333,417.6833333,414.4166667,411.1333333,0.003990264,SKIP,643420,268421256.5,418.7,416.6833333
CUB,187.95,179.25,181.55,186.5833333,191.6166667,182.9166667,177.8833333,174.2166667,-0.74715262,SELL,636998,115751140,182.55,181.9166667
ALLCARGO,152.5,146.05,146.85,150.8833333,154.9166667,148.4666667,144.4333333,142.0166667,-1.088908846,SELL,617917,91520747.9,147.85,147.4666667
ACE,185.5,179.7,182.7,185.5666667,188.4333333,182.6333333,179.7666667,176.8333333,0.036503011,SKIP,598758,109308996.2,183.7,181.6333333
INDIAGLYCO,606.7,578.05,580.3,598.65,617,588.35,570,559.7,-1.368233195,SELL,587575,347737112.5,581.3,587.35
GSPL,184.65,182,183,184.4333333,185.8666667,183.2166667,181.7833333,180.5666667,-0.118257073,SKIP,584035,106542750.8,184,182.2166667
GRAVITA,194.2,186.05,190.8,194.65,198.5,190.35,186.5,182.2,0.236406619,SKIP,562892,106960926.4,191.8,189.35
KSCL,536,518.75,532.15,539.1833333,546.2166667,528.9666667,521.9333333,511.7166667,0.601802256,BUY,554703,293831115.3,533.15,527.9666667
WINDMACHIN,118,111.15,116.15,119.05,121.95,115.1,112.2,108.25,0.912250217,BUY,552285,63692197.8,117.15,114.1
GUFICBIO,140.9,135.8,138.8,141.2,143.6,138.5,136.1,133.4,0.216606498,SKIP,525628,72846578.2,139.8,137.5
MAGMA,175.8,169.9,173.4,176.1666667,178.9333333,173.0333333,170.2666667,167.1333333,0.211905221,SKIP,520660,89868500.55,174.4,172.0333333
ABAN,175,171.5,172.75,174.6666667,176.5833333,173.0833333,171.1666667,169.5833333,-0.19258546,SKIP,520401,90114046.25,173.75,172.0833333
GLENMARK,571.2,563.7,566.55,570.6,574.65,567.15,563.1,559.65,-0.105792118,SKIP,513126,290887467,567.55,566.15
ASHOKA,279.7,268.1,271.2,277.9,284.6,273,266.3,261.4,-0.659340659,SELL,483588,131762481.3,272.2,272
NOCIL,216.6,212.15,215.15,217.1166667,219.0833333,214.6333333,212.6666667,210.1833333,0.240720609,SKIP,482345,103464249.4,216.15,213.6333333
BODALCHEM,122,114.5,115.45,120.1333333,124.8166667,117.3166667,112.6333333,109.8166667,-1.591135104,SKIP,479928,56062853.9,116.45,116.3166667
JKTYRE,151.95,148.4,149.65,151.6,153.55,150,148.05,146.45,-0.233333333,SKIP,479010,71830694.3,150.65,149
APTECHT,290.9,281.35,283.6,289.2166667,294.8333333,285.2833333,279.6666667,275.7333333,-0.590056669,SKIP,473001,134954157,284.6,284.2833333
CAPF,630.7,621.15,623.1,628.8166667,634.5333333,624.9833333,619.2666667,615.4333333,-0.301341369,SKIP,463596,289938542.3,624.1,623.9833333
SORILINFRA,352.7,325,332.85,348.7,364.55,336.85,321,309.15,-1.187472169,SELL,441822,150194101.5,333.85,335.85
WELENT,147,144,145,146.6666667,148.3333333,145.3333333,143.6666667,142.3333333,-0.229357798,SKIP,436754,63126183.6,146,144.3333333
CHENNPETRO,321.9,315.2,319.6,322.6,325.6,318.9,315.9,312.2,0.219504547,SKIP,435102,138185908.4,320.6,317.9
GODREJIND,601.45,581.6,597.8,605.6333333,613.4666667,593.6166667,585.7833333,573.7666667,0.704719656,BUY,428403,254844955.9,598.8,592.6166667
