,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
926,LAXMIMACH,EQ,9130.0,9265.0,9072.15,9165.4,9163.8,8995.95,23120,212128256.85,08-MAY-2018,4255,INE269B01029
927,LEEL,EQ,212.0,218.65,210.0,217.75,218.0,211.0,76862,16604063.65,08-MAY-2018,1793,INE245C01019
928,LEMONTREE,EQ,73.6,74.95,72.35,72.9,72.8,73.2,2464144,181304305.6,08-MAY-2018,52056,INE970X01018
929,LFIC,BE,93.0,93.45,91.5,92.95,92.95,90.5,570,52762.15,08-MAY-2018,18,INE850E01012
930,LGBBROSLTD,EQ,1284.95,1285.0,1255.95,1269.75,1274.0,1273.95,2820,3589962.6,08-MAY-2018,508,INE337A01034
931,LIBERTSHOE,EQ,224.6,224.65,218.2,220.05,219.2,222.6,19465,4299949.9,08-MAY-2018,499,INE557B01019
932,LICHSGFIN,EQ,518.9,518.9,509.3,511.65,510.65,516.05,1385151,711711774.65,08-MAY-2018,43386,INE115A01026
933,LICNETFGSC,EQ,16.0,16.0,16.0,16.0,16.0,15.9,101,1616.0,08-MAY-2018,3,INF767K01MV5
934,LICNETFN50,EQ,110.6,110.6,108.85,108.85,108.85,110.05,72,7838.95,08-MAY-2018,3,INF767K01OS7
935,LICNETFSEN,EQ,374.0,374.5,342.5,360.0,360.0,340.0,401,144262.0,08-MAY-2018,6,INF767K01OT5
936,LICNFNHGP,EQ,114.5,114.5,114.5,114.5,114.5,114.5,1,114.5,08-MAY-2018,1,INF767K01PC8
937,LINCOLN,EQ,223.95,223.95,216.1,217.45,216.1,223.6,6538,1437517.8,08-MAY-2018,199,INE405C01035
938,LINCPEN,EQ,388.35,399.0,380.55,396.9,394.0,383.85,9333,3664135.35,08-MAY-2018,227,INE802B01019
939,LINDEINDIA,EQ,420.7,445.0,420.7,429.9,427.05,420.15,13964,6055205.75,08-MAY-2018,1279,INE473A01011
940,LIQUIDBEES,EQ,999.99,1000.01,999.99,1000.0,999.99,999.99,1247378,1247381674.48,08-MAY-2018,5407,INF732E01037
941,LIQUIDETF,EQ,999.99,999.99,999.99,999.99,999.99,1000.01,9,8999.91,08-MAY-2018,2,INF740KA1EU7
